                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6235,                 3.5428,                 1.7079,                0.01157,                 0.3125,                0.01065,                 0.0037,                 1.9095,                 4.1458,                 1.8551,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.3389,                 2.2681,                 1.4204,                0.09571,                0.48637,                0.13811,                0.06989,                 1.4776,                  3.296,                 1.3919,             0.00011553,             0.00011553,             0.00011553
                      3,                 1.2999,                 1.8517,                 1.3261,                0.22801,                 0.7125,                0.24764,                0.13422,                 1.4501,                 4.5511,                 1.3821,             0.00017974,             0.00017974,             0.00017974
                      4,                 1.3119,                 1.5656,                 1.2568,                0.29154,                    0.5,                0.26077,                0.13714,                 1.4784,                 2.8807,                 1.3126,             0.00024262,             0.00024262,             0.00024262
                      5,                 1.1024,                 1.4408,                 1.1054,                0.10274,                 0.4125,                0.10619,                0.05317,                 1.5467,                 7.6445,                 1.2426,             0.00030419,             0.00030419,             0.00030419
                      6,                 1.0991,                 1.2778,                 1.0977,                 0.1527,                0.45625,                0.13566,                0.06752,                 1.5652,                 4.2358,                 1.2503,             0.00036443,             0.00036443,             0.00036443
                      7,                 1.2587,                 1.3195,                 1.1122,                0.23799,                 0.3875,                0.19287,                0.10373,                 1.5466,                 4.7068,                  1.309,             0.00042335,             0.00042335,             0.00042335
                      8,                 1.1647,                 1.5542,                 1.1892,                 0.2545,                0.59891,                0.23154,                0.10401,                  1.748,                 3.5726,                 1.4987,             0.00048096,             0.00048096,             0.00048096
                      9,                  1.034,                 1.1935,                 1.2017,                0.17047,                 0.5125,                0.14886,                0.08489,                  1.548,                 4.4736,                 1.2657,             0.00053724,             0.00053724,             0.00053724
                     10,                 1.1547,                 1.1349,                  1.298,                0.16815,                0.49375,                0.12549,                 0.0609,                 1.7146,                 5.6329,                 1.3888,              0.0005922,              0.0005922,              0.0005922
                     11,                 1.0643,                0.99477,                 1.1384,                0.37312,                0.50625,                0.28456,                0.11689,                 1.8411,                 2.5716,                 1.5521,             0.00064585,             0.00064585,             0.00064585
                     12,                 1.0342,                0.90788,                 1.0598,                0.24655,                0.53652,                0.19205,                0.08627,                   1.73,                 4.7927,                 1.4681,             0.00069817,             0.00069817,             0.00069817
                     13,                0.99091,                0.89512,                 1.1026,                 0.2607,                 0.2375,                0.14299,                0.06747,                 1.8139,                 3.8964,                 1.6108,             0.00074917,             0.00074917,             0.00074917
                     14,                  1.146,                 0.9695,                 1.1774,                0.04413,                0.14375,                0.02751,                0.01262,                 1.8795,                 5.2516,                 1.6509,             0.00079885,             0.00079885,             0.00079885
                     15,                 1.0871,                0.92268,                  1.211,                0.04697,                 0.2375,                0.03367,                0.01648,                 1.7747,                 13.332,                 1.7126,             0.00084721,             0.00084721,             0.00084721
                     16,                 1.2034,                  1.363,                 1.1474,                0.06952,                 0.1375,                0.06286,                 0.0388,                 1.8563,                 16.965,                 1.8786,             0.00089425,             0.00089425,             0.00089425
                     17,                0.80523,                 1.6887,                0.86538,                0.08563,                0.29897,                0.06226,                 0.0323,                 1.7564,                 11.576,                  1.654,             0.00093997,             0.00093997,             0.00093997
                     18,                 1.1639,                0.88611,                 1.1262,                0.11434,                  0.125,                0.11416,                0.06732,                 1.7188,                 7.2967,                 1.7324,             0.00098438,             0.00098438,             0.00098438
                     19,                 1.0304,                0.97814,                 1.2225,                0.06763,                0.21875,                0.06766,                0.03655,                 1.6163,                 7.0077,                 1.4663,              0.0010275,              0.0010275,              0.0010275
                     20,                 1.0587,                0.94147,                 1.2484,                0.07494,                   0.15,                 0.0484,                0.02672,                 1.6169,                 8.5737,                 1.6606,              0.0010692,              0.0010692,              0.0010692
                     21,                 1.1214,                0.84753,                   1.12,                0.03557,                0.23125,                0.03047,                0.01691,                 1.8152,                 7.0219,                 1.7646,              0.0011097,              0.0011097,              0.0011097
                     22,                 1.1472,                 1.0834,                 1.3249,                0.08223,                0.16875,                0.05416,                0.03209,                  2.025,                 6.0193,                   1.79,              0.0011488,              0.0011488,              0.0011488
                     23,                 1.0099,                0.93565,                 1.1391,                0.19452,                    0.2,                0.12954,                0.06696,                 1.8062,                 4.5805,                 1.5794,              0.0011866,              0.0011866,              0.0011866
                     24,                 1.0745,                0.80043,                 1.1965,                0.27361,                0.44375,                0.20148,                0.07149,                 2.0448,                 2.9919,                  1.681,              0.0012231,              0.0012231,              0.0012231
                     25,                 1.2754,                 1.3469,                 1.3048,                0.08395,                    0.2,                0.05475,                0.02219,                 2.2234,                 4.0528,                 2.5836,              0.0012582,              0.0012582,              0.0012582
                     26,                 0.9921,                0.93449,                 1.1686,                 0.1196,                0.40625,                0.09326,                0.03881,                 2.2446,                 3.5829,                 2.0444,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3653,                  1.854,                 1.3928,                0.16468,                  0.375,                0.16311,                0.05366,                 2.2349,                 3.6498,                 1.8921,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.1379,                0.97847,                 1.2855,                0.12038,                0.25625,                0.11675,                0.04352,                 1.9748,                 3.7523,                 1.7286,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.6155,                 1.7823,                 1.5757,                0.52152,                 0.2375,                0.14821,                0.08092,                 1.9387,                 4.5397,                 1.6555,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0441,                0.82357,                 1.0909,                0.38878,                 0.2875,                0.19506,                 0.1202,                 1.7252,                 3.9966,                 1.4402,              0.0011884,              0.0011884,              0.0011884
                     31,                0.72514,                 3.6073,                0.87385,                0.18046,                  0.325,                0.11246,                0.05131,                 1.8784,                 3.5119,                 1.5243,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0923,                 1.4134,                 1.1981,                0.15412,                  0.425,                0.12934,                0.06753,                 1.6842,                 3.4419,                 1.5503,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0991,                 1.0836,                 1.0977,                0.12248,                 0.1625,                0.10728,                0.06005,                 1.7211,                 4.9221,                 1.5564,              0.0011389,              0.0011389,              0.0011389
                     34,                0.84395,                 1.0664,                 1.0755,                0.08917,                0.64283,                0.15143,                0.08114,                 1.7515,                 4.2536,                 1.6154,              0.0011224,              0.0011224,              0.0011224
                     35,                0.89768,                0.67231,                 1.1552,                0.18307,                 0.3544,                0.19148,                0.10678,                 1.7437,                 3.3974,                 1.5826,              0.0011059,              0.0011059,              0.0011059
